NAxe	NTrace	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	prj_tdc	leve	product	NomTDC[itdc]	Nbcoup
1	65	827579.489	6256168.225	-0.431	0.903	244.111	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	65	827579.489	6256168.225	-0.431	0.903	76.764	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	66	827488.196	6256127.522	-0.355	0.935	-324.709	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	66	827488.196	6256127.522	-0.355	0.935	99.65	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	66	827488.196	6256127.522	-0.355	0.935	325.292	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	66	827488.196	6256127.522	-0.355	0.935	284.425	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	66	827488.196	6256127.522	-0.355	0.935	90.377	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	67	827394.508	6256092.565	-0.378	0.926	-357.7	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	67	827394.508	6256092.565	-0.378	0.926	130.113	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	67	827394.508	6256092.565	-0.378	0.926	339.321	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	67	827394.508	6256092.565	-0.378	0.926	223.845	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	67	827394.508	6256092.565	-0.378	0.926	279.378	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	68	827303.901	6256050.31	-0.431	0.902	-377.26	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	68	827303.901	6256050.31	-0.431	0.902	335.41	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	68	827303.901	6256050.31	-0.431	0.902	224.055	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	68	827303.901	6256050.31	-0.431	0.902	195.543	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	68	827303.901	6256050.31	-0.431	0.902	290.439	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	68	827303.901	6256050.31	-0.431	0.902	372.214	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	69	827213.862	6256006.804	-0.442	0.897	-402.033	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	69	827213.862	6256006.804	-0.442	0.897	337.422	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	69	827213.862	6256006.804	-0.442	0.897	395.721	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	70	827121.537	6255968.705	-0.337	0.941	-341.705	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
